Category,Condition,Alias,Relative Link
Blood/lymphatic system,congenital afibrinogenemia,,/condition/congenital-afibrinogenemia
Blood/lymphatic system,congenital antithrombin iii deficiency,hereditary antithrombin deficiency,/condition/hereditary-antithrombin-deficiency
Blood/lymphatic system,congenital betalipoprotein deficiency syndrome,abetalipoproteinemia,/condition/abetalipoproteinemia
Blood/lymphatic system,congenital defect of folate absorption,hereditary folate malabsorption,/condition/hereditary-folate-malabsorption
Blood/lymphatic system,congenital dyserythropoietic anemia,,/condition/congenital-dyserythropoietic-anemia
Blood/lymphatic system,congenital erythrocytosis,familial erythrocytosis,/condition/familial-erythrocytosis
Blood/lymphatic system,congenital erythroid hypoplastic anemia,diamond-blackfan anemia,/condition/diamond-blackfan-anemia
Blood/lymphatic system,congenital familial lymphedema,milroy disease,/condition/milroy-disease
Blood/lymphatic system,congenital folate malabsorption,hereditary folate malabsorption,/condition/hereditary-folate-malabsorption
Blood/lymphatic system,congenital hypoplastic anemia of blackfan and diamond,diamond-blackfan anemia,/condition/diamond-blackfan-anemia
Blood/lymphatic system,congenital methemoglobinemia,"methemoglobinemia, beta-globin type",/condition/methemoglobinemia-beta-globin-type
Blood/lymphatic system,congenital methemoglobinemia due to nadh-cytochrome b5 reductase 3 deficiency,autosomal recessive congenital methemoglobinemia,/condition/autosomal-recessive-congenital-methemoglobinemia
Blood/lymphatic system,congenital nadh-methemoglobin reductase deficiency,autosomal recessive congenital methemoglobinemia,/condition/autosomal-recessive-congenital-methemoglobinemia
Blood/lymphatic system,congenital prekallikrein deficiency,prekallikrein deficiency,/condition/prekallikrein-deficiency
Blood/lymphatic system,congenital pure red cell anemia,diamond-blackfan anemia,/condition/diamond-blackfan-anemia
Blood/lymphatic system,congenital pure red cell aplasia,diamond-blackfan anemia,/condition/diamond-blackfan-anemia
Blood/lymphatic system,congenital sideroblastic anaemia,x-linked sideroblastic anemia,/condition/x-linked-sideroblastic-anemia
Blood/lymphatic system,congenital spherocytic hemolytic anemia,hereditary spherocytosis,/condition/hereditary-spherocytosis
Blood/lymphatic system,congenital spherocytosis,hereditary spherocytosis,/condition/hereditary-spherocytosis
Blood/lymphatic system,congenital stuart factor deficiency,factor x deficiency,/condition/factor-x-deficiency
Blood/lymphatic system,core binding factor acute myeloid leukemia,,/condition/core-binding-factor-acute-myeloid-leukemia
Blood/lymphatic system,coumadin sensitivity,warfarin sensitivity,/condition/warfarin-sensitivity
Blood/lymphatic system,coumarin resistance,warfarin resistance,/condition/warfarin-resistance
Blood/lymphatic system,cyclic neutropenia,,/condition/cyclic-neutropenia
Blood/lymphatic system,cyp2c19-related poor drug metabolism,clopidogrel resistance,/condition/clopidogrel-resistance
Blood/lymphatic system,cytochrome b5 reductase deficiency,autosomal recessive congenital methemoglobinemia,/condition/autosomal-recessive-congenital-methemoglobinemia
Blood/lymphatic system,cytogenetically normal acute myeloid leukemia,,/condition/cytogenetically-normal-acute-myeloid-leukemia
Blood/lymphatic system,dada2,adenosine deaminase 2 deficiency,/condition/adenosine-deaminase-2-deficiency
Blood/lymphatic system,dba,diamond-blackfan anemia,/condition/diamond-blackfan-anemia
Blood/lymphatic system,defect of enterocyte intrinsic factor receptor,imerslund-gräsbeck syndrome,/condition/imerslund-grasbeck-syndrome
Blood/lymphatic system,"deficiency, laki-lorand factor",factor xiii deficiency,/condition/factor-xiii-deficiency
Blood/lymphatic system,deficiency of ada2,adenosine deaminase 2 deficiency,/condition/adenosine-deaminase-2-deficiency
Blood/lymphatic system,deficiency of cytochrome-b5 reductase,autosomal recessive congenital methemoglobinemia,/condition/autosomal-recessive-congenital-methemoglobinemia
Blood/lymphatic system,deficiency of factor xiii,factor xiii deficiency,/condition/factor-xiii-deficiency
Blood/lymphatic system,deficiency of ferroxidase,aceruloplasminemia,/condition/aceruloplasminemia
Blood/lymphatic system,deficiency of glucose-6-phosphate dehydrogenase,glucose-6-phosphate dehydrogenase deficiency,/condition/glucose-6-phosphate-dehydrogenase-deficiency
Blood/lymphatic system,deficiency of glutathione synthase,glutathione synthetase deficiency,/condition/glutathione-synthetase-deficiency
Blood/lymphatic system,deficiency of glutathione synthetase,glutathione synthetase deficiency,/condition/glutathione-synthetase-deficiency
Blood/lymphatic system,deficiency of glycoprotein complex iib-iiia,glanzmann thrombasthenia,/condition/glanzmann-thrombasthenia
Blood/lymphatic system,deficiency of phosphotriose isomerase,triosephosphate isomerase deficiency,/condition/triosephosphate-isomerase-deficiency
Blood/lymphatic system,deficiency of platelet fibrinogen receptor,glanzmann thrombasthenia,/condition/glanzmann-thrombasthenia
Blood/lymphatic system,deficient alpha granule syndrome,gray platelet syndrome,/condition/gray-platelet-syndrome
Blood/lymphatic system,diamond-blackfan anemia,,/condition/diamond-blackfan-anemia
Blood/lymphatic system,diaphorase deficiency,autosomal recessive congenital methemoglobinemia,/condition/autosomal-recessive-congenital-methemoglobinemia
Blood/lymphatic system,diaphyseal dysplasia associated with anemia,ghosal hematodiaphyseal dysplasia,/condition/ghosal-hematodiaphyseal-dysplasia
Blood/lymphatic system,distichiasis-lymphedema syndrome,lymphedema-distichiasis syndrome,/condition/lymphedema-distichiasis-syndrome
Blood/lymphatic system,duncan disease,x-linked lymphoproliferative disease,/condition/x-linked-lymphoproliferative-disease
Blood/lymphatic system,dyserythropoietic anemia and thrombocytopenia,,/condition/dyserythropoietic-anemia-and-thrombocytopenia
Blood/lymphatic system,dyskeratosis congenita,,/condition/dyskeratosis-congenita
Blood/lymphatic system,dysprothrombinemia,prothrombin deficiency,/condition/prothrombin-deficiency
Blood/lymphatic system,"dystonia/parkinsonism, hypermanganesemia, polycythemia, and chronic liver disease","hypermanganesemia with dystonia, polycythemia, and cirrhosis",/condition/hypermanganesemia-with-dystonia-polycythemia-and-cirrhosis
Blood/lymphatic system,eczema-thrombocytopenia-immunodeficiency syndrome,wiskott-aldrich syndrome,/condition/wiskott-aldrich-syndrome
Blood/lymphatic system,eme,ethylmalonic encephalopathy,/condition/ethylmalonic-encephalopathy
Blood/lymphatic system,"encephalopathy, petechiae, and ethylmalonic aciduria",ethylmalonic encephalopathy,/condition/ethylmalonic-encephalopathy
Blood/lymphatic system,enterocyte cobalamin malabsorption,imerslund-gräsbeck syndrome,/condition/imerslund-grasbeck-syndrome
Blood/lymphatic system,eosinophil peroxidase deficiency,,/condition/eosinophil-peroxidase-deficiency
Blood/lymphatic system,epema syndrome,ethylmalonic encephalopathy,/condition/ethylmalonic-encephalopathy
Blood/lymphatic system,epstein-barr virus-induced lymphoproliferative disease in males,x-linked lymphoproliferative disease,/condition/x-linked-lymphoproliferative-disease
Blood/lymphatic system,epxd,eosinophil peroxidase deficiency,/condition/eosinophil-peroxidase-deficiency
Blood/lymphatic system,erythroblastic anemia,beta thalassemia,/condition/beta-thalassemia
Blood/lymphatic system,erythrogenesis imperfecta,diamond-blackfan anemia,/condition/diamond-blackfan-anemia
Blood/lymphatic system,erythroid 5-aminolevulinate synthase deficiency,x-linked sideroblastic anemia,/condition/x-linked-sideroblastic-anemia
Blood/lymphatic system,essential thrombocythemia,,/condition/essential-thrombocythemia
Blood/lymphatic system,ethylmalonic encephalopathy,,/condition/ethylmalonic-encephalopathy
Blood/lymphatic system,f10 deficiency,factor x deficiency,/condition/factor-x-deficiency
Blood/lymphatic system,fa,fanconi anemia,/condition/fanconi-anemia
Blood/lymphatic system,factor ii deficiency,prothrombin deficiency,/condition/prothrombin-deficiency
Blood/lymphatic system,factor v deficiency,,/condition/factor-v-deficiency
Blood/lymphatic system,factor v leiden thrombophilia,,/condition/factor-v-leiden-thrombophilia
Blood/lymphatic system,factor x deficiency,,/condition/factor-x-deficiency
Blood/lymphatic system,factor xiii deficiency,,/condition/factor-xiii-deficiency
Blood/lymphatic system,familial acute myeloid leukemia with mutated cebpa,,/condition/familial-acute-myeloid-leukemia-with-mutated-cebpa
Blood/lymphatic system,familial afibrinogenemia,congenital afibrinogenemia,/condition/congenital-afibrinogenemia
Blood/lymphatic system,familial apoceruloplasmin deficiency,aceruloplasminemia,/condition/aceruloplasminemia
Blood/lymphatic system,familial cavernous hemangioma,cerebral cavernous malformation,/condition/cerebral-cavernous-malformation
Blood/lymphatic system,familial cavernous malformation,cerebral cavernous malformation,/condition/cerebral-cavernous-malformation
Blood/lymphatic system,familial cerebral cavernous angioma,cerebral cavernous malformation,/condition/cerebral-cavernous-malformation
Blood/lymphatic system,familial cerebral cavernous malformation,cerebral cavernous malformation,/condition/cerebral-cavernous-malformation
Blood/lymphatic system,familial erythrocytosis,,/condition/familial-erythrocytosis
Blood/lymphatic system,familial fatal epstein-barr infection,x-linked lymphoproliferative disease,/condition/x-linked-lymphoproliferative-disease
Blood/lymphatic system,familial high density lipoprotein deficiency disease,tangier disease,/condition/tangier-disease
Blood/lymphatic system,familial hypoalphalipoproteinemia,tangier disease,/condition/tangier-disease
Blood/lymphatic system,familial lcat deficiency,complete lcat deficiency,/condition/complete-lcat-deficiency
Blood/lymphatic system,familial lecithin-cholesterol acyltransferase deficiency,complete lcat deficiency,/condition/complete-lcat-deficiency
Blood/lymphatic system,familial mediterranean fever,,/condition/familial-mediterranean-fever
Blood/lymphatic system,familial thrombotic thrombocytopenia purpura,thrombotic thrombocytopenic purpura,/condition/thrombotic-thrombocytopenic-purpura
Blood/lymphatic system,familial turner syndrome,noonan syndrome,/condition/noonan-syndrome
Blood/lymphatic system,familial veno-occlusive disease with immunodeficiency,hepatic veno-occlusive disease with immunodeficiency,/condition/hepatic-veno-occlusive-disease-with-immunodeficiency
Blood/lymphatic system,fanconi anemia,,/condition/fanconi-anemia
Blood/lymphatic system,female pseudo-turner syndrome,noonan syndrome,/condition/noonan-syndrome
Blood/lymphatic system,ferritin-related neurodegeneration,neuroferritinopathy,/condition/neuroferritinopathy
Blood/lymphatic system,fibrin stabilizing factor deficiency,factor xiii deficiency,/condition/factor-xiii-deficiency
Blood/lymphatic system,figlu-uria,glutamate formiminotransferase deficiency,/condition/glutamate-formiminotransferase-deficiency
Blood/lymphatic system,fld,complete lcat deficiency,/condition/complete-lcat-deficiency
Blood/lymphatic system,fletcher factor deficiency,prekallikrein deficiency,/condition/prekallikrein-deficiency
Blood/lymphatic system,fletcher trait,prekallikrein deficiency,/condition/prekallikrein-deficiency
Blood/lymphatic system,fmf,familial mediterranean fever,/condition/familial-mediterranean-fever
Blood/lymphatic system,folic acid transport defect,hereditary folate malabsorption,/condition/hereditary-folate-malabsorption
Blood/lymphatic system,formiminoglutamic aciduria,glutamate formiminotransferase deficiency,/condition/glutamate-formiminotransferase-deficiency
Blood/lymphatic system,formiminotransferase deficiency,glutamate formiminotransferase deficiency,/condition/glutamate-formiminotransferase-deficiency
Blood/lymphatic system,g6pd deficiency,glucose-6-phosphate dehydrogenase deficiency,/condition/glucose-6-phosphate-dehydrogenase-deficiency
Blood/lymphatic system,g6pdd,glucose-6-phosphate dehydrogenase deficiency,/condition/glucose-6-phosphate-dehydrogenase-deficiency
Blood/lymphatic system,gata-1-related thrombocytopenia with dyserythropoiesis,dyserythropoietic anemia and thrombocytopenia,/condition/dyserythropoietic-anemia-and-thrombocytopenia
Blood/lymphatic system,gata1-related cytopenia,dyserythropoietic anemia and thrombocytopenia,/condition/dyserythropoietic-anemia-and-thrombocytopenia
Blood/lymphatic system,gata1-related x-linked cytopenia,dyserythropoietic anemia and thrombocytopenia,/condition/dyserythropoietic-anemia-and-thrombocytopenia
Blood/lymphatic system,gaucher disease,,/condition/gaucher-disease
Blood/lymphatic system,gd,gaucher disease,/condition/gaucher-disease
Blood/lymphatic system,generalized lymphatic dysplasia,hennekam syndrome,/condition/hennekam-syndrome
Blood/lymphatic system,ghdd,ghosal hematodiaphyseal dysplasia,/condition/ghosal-hematodiaphyseal-dysplasia
Blood/lymphatic system,ghosal hematodiaphyseal dysplasia,,/condition/ghosal-hematodiaphyseal-dysplasia
Blood/lymphatic system,glanzmann thrombasthenia,,/condition/glanzmann-thrombasthenia
Blood/lymphatic system,glucocerebrosidase deficiency,gaucher disease,/condition/gaucher-disease
Blood/lymphatic system,glucocerebrosidosis,gaucher disease,/condition/gaucher-disease
Blood/lymphatic system,glucose-6-phosphate dehydrogenase deficiency,,/condition/glucose-6-phosphate-dehydrogenase-deficiency
Blood/lymphatic system,glucose phosphate isomerase deficiency,,/condition/glucose-phosphate-isomerase-deficiency
Blood/lymphatic system,glucosyl cerebroside lipidosis,gaucher disease,/condition/gaucher-disease
Blood/lymphatic system,glucosylceramidase deficiency,gaucher disease,/condition/gaucher-disease
Blood/lymphatic system,glucosylceramide beta-glucosidase deficiency,gaucher disease,/condition/gaucher-disease
Blood/lymphatic system,glucosylceramide lipidosis,gaucher disease,/condition/gaucher-disease
Blood/lymphatic system,glutamate formiminotransferase deficiency,,/condition/glutamate-formiminotransferase-deficiency
Blood/lymphatic system,glutathione synthetase deficiency,,/condition/glutathione-synthetase-deficiency
Blood/lymphatic system,glycoprotein iib/iiia defect,glanzmann thrombasthenia,/condition/glanzmann-thrombasthenia
Blood/lymphatic system,gpi deficiency,glucose phosphate isomerase deficiency,/condition/glucose-phosphate-isomerase-deficiency
Blood/lymphatic system,gps,gray platelet syndrome,/condition/gray-platelet-syndrome
Blood/lymphatic system,gray platelet syndrome,,/condition/gray-platelet-syndrome
Blood/lymphatic system,grey platelet syndrome,gray platelet syndrome,/condition/gray-platelet-syndrome
Blood/lymphatic system,hae,hereditary angioedema,/condition/hereditary-angioedema
Blood/lymphatic system,hanac,"hereditary angiopathy with nephropathy, aneurysms, and muscle cramps syndrome",/condition/hereditary-angiopathy-with-nephropathy-aneurysms-and-muscle-cramps-syndrome
Blood/lymphatic system,hane,hereditary angioedema,/condition/hereditary-angioedema
Blood/lymphatic system,hashimoto-pritzger disease,langerhans cell histiocytosis,/condition/langerhans-cell-histiocytosis
Blood/lymphatic system,hbs disease,sickle cell disease,/condition/sickle-cell-disease
Blood/lymphatic system,hdl lipoprotein deficiency disease,tangier disease,/condition/tangier-disease
Blood/lymphatic system,hemoglobin m disease,"methemoglobinemia, beta-globin type",/condition/methemoglobinemia-beta-globin-type
Blood/lymphatic system,hemoglobin s disease,sickle cell disease,/condition/sickle-cell-disease
Blood/lymphatic system,"hemoglobinuria, paroxysmal",paroxysmal nocturnal hemoglobinuria,/condition/paroxysmal-nocturnal-hemoglobinuria
Blood/lymphatic system,hemophilia,,/condition/hemophilia
Blood/lymphatic system,hennekam syndrome,,/condition/hennekam-syndrome
Blood/lymphatic system,"hepatic cirrhosis, dystonia, polycythaemia, and hypermanganesaemia","hypermanganesemia with dystonia, polycythemia, and cirrhosis",/condition/hypermanganesemia-with-dystonia-polycythemia-and-cirrhosis
Blood/lymphatic system,"hepatic cirrhosis, dystonia, polycythemia, and hypermanganesemia","hypermanganesemia with dystonia, polycythemia, and cirrhosis",/condition/hypermanganesemia-with-dystonia-polycythemia-and-cirrhosis
Blood/lymphatic system,hepatic veno-occlusive disease with immunodeficiency,,/condition/hepatic-veno-occlusive-disease-with-immunodeficiency
Blood/lymphatic system,hereditary angioedema,,/condition/hereditary-angioedema
Blood/lymphatic system,"hereditary angiopathy with nephropathy, aneurysms, and muscle cramps syndrome",,/condition/hereditary-angiopathy-with-nephropathy-aneurysms-and-muscle-cramps-syndrome
Blood/lymphatic system,hereditary antithrombin deficiency,,/condition/hereditary-antithrombin-deficiency
Blood/lymphatic system,hereditary ceruloplasmin deficiency,aceruloplasminemia,/condition/aceruloplasminemia
Blood/lymphatic system,hereditary erythrocytosis,familial erythrocytosis,/condition/familial-erythrocytosis
Blood/lymphatic system,hereditary ferritinopathy,neuroferritinopathy,/condition/neuroferritinopathy
Blood/lymphatic system,hereditary folate malabsorption,,/condition/hereditary-folate-malabsorption
Blood/lymphatic system,hereditary hemorrhagic telangiectasia,,/condition/hereditary-hemorrhagic-telangiectasia
Blood/lymphatic system,hereditary hemorrhagic thrombasthenia,glanzmann thrombasthenia,/condition/glanzmann-thrombasthenia
Blood/lymphatic system,hereditary iron-loading anemia,x-linked sideroblastic anemia,/condition/x-linked-sideroblastic-anemia
Blood/lymphatic system,hereditary lymphedema ii,meige disease,/condition/meige-disease
Blood/lymphatic system,hereditary lymphedema type i,milroy disease,/condition/milroy-disease
Blood/lymphatic system,hereditary nonspherocytic hemolytic anemia due to triosephosphate isomerase deficiency,triosephosphate isomerase deficiency,/condition/triosephosphate-isomerase-deficiency
Blood/lymphatic system,hereditary resistance to activated protein c,factor v leiden thrombophilia,/condition/factor-v-leiden-thrombophilia
Blood/lymphatic system,hereditary spherocytosis,,/condition/hereditary-spherocytosis
Blood/lymphatic system,hereditary thrombasthenia,glanzmann thrombasthenia,/condition/glanzmann-thrombasthenia
Blood/lymphatic system,hereditary thrombophilia due to protein c deficiency,protein c deficiency,/condition/protein-c-deficiency
Blood/lymphatic system,hereditary thrombophilia due to protein s deficiency,protein s deficiency,/condition/protein-s-deficiency
Blood/lymphatic system,hermansky-pudlak syndrome,,/condition/hermansky-pudlak-syndrome
Blood/lymphatic system,hht,hereditary hemorrhagic telangiectasia,/condition/hereditary-hemorrhagic-telangiectasia
Blood/lymphatic system,histiocytosis-lymphadenopathy plus syndrome,,/condition/histiocytosis-lymphadenopathy-plus-syndrome
Blood/lymphatic system,histiocytosis x,langerhans cell histiocytosis,/condition/langerhans-cell-histiocytosis
Blood/lymphatic system,hmdpc,"hypermanganesemia with dystonia, polycythemia, and cirrhosis",/condition/hypermanganesemia-with-dystonia-polycythemia-and-cirrhosis
