gene	diseaseName	score_hpo
GPR161	Hypoplasia of penis	1
GPR161	Septo-optic dysplasia	1
LHX4	Cryptorchidism	1
LHX4	Cognitive impairment	1
LHX4	Hypoglycemia	1
LHX4	Diabetes insipidus	1
LHX4	Abnormality of the hypothalamus-pituitary axis	1
LHX4	Primary adrenal insufficiency	1
LHX4	Primary amenorrhea	1
LHX4	Short stature	1
LHX4	Hypothyroidism	1
LHX4	Seizures	1
LHX4	Hypoplasia of penis	1
LHX4	Septo-optic dysplasia	1
CRYM	Hearing impairment	1
CRYM	Autosomal dominant inheritance	1
NUP62	Failure to thrive	1
NUP62	Autosomal recessive inheritance	1
NUP62	Intellectual disability	1
NUP62	Optic atrophy	1
NUP62	Choreoathetosis	1
NUP62	Dysphagia	1
NUP62	Pendular nystagmus	1
NUP62	Dystonia	1
NUP62	Spasticity	1
NUP62	Developmental stagnation	1
NUP62	Developmental regression	1
CRYBA1	Autosomal dominant inheritance	1
CRYBA1	Congenital cataract	1
CRYBA1	Posterior Y-sutural cataract	1
TIA1	Distal amyotrophy	1
TIA1	Autosomal dominant inheritance	1
TIA1	Autosomal recessive inheritance	1
TIA1	Steppage gait	1
TIA1	Slow progression	1
TIA1	Rimmed vacuoles	1
TIA1	Myopathy	1
TIA1	Distal muscle weakness	1
TIA1	Mildly elevated creatine phosphokinase	1
DIAPH1	Sensorineural hearing impairment	1
DIAPH1	Childhood onset	1
DIAPH1	Autosomal dominant inheritance	1
DIAPH1	Progressive hearing impairment	1
DIAPH1	Low-frequency hearing loss	1
CCNO	Ciliary dyskinesia	1
CCNO	Bronchiectasis	1
CCNO	Atelectasis	1
CCNO	Recurrent respiratory infections	1
CCNO	Infertility	1
ALG8	Hepatic failure	1
ALG8	Cataract	1
ALG8	Lymphedema	1
ALG8	Abnormality of the renal tubule	1
RPS14	Sporadic	1
RPS14	Refractory macrocytic anemia	1
RPS14	Erythroid hypoplasia	1
RPS14	Somatic mutation	1
RPS14	Autosomal dominant contiguous gene syndrome	1
RPS14	Abnormality of cells of the megakaryocyte lineage	1
RPS14	Myelodysplasia	1
KISS1	Hypogonadotrophic hypogonadism	1
KISS1	Delayed skeletal maturation	1
KISS1	Autosomal recessive inheritance	1
KISS1	Anosmia	1
KISS1	Hypoplasia of the uterus	1
HNF1B	Insulin resistance	1
HNF1B	Type II diabetes mellitus	1
HNF1B	Late onset	1
HNF1B	Autosomal dominant inheritance	1
AKT2	Insulin resistance	1
AKT2	Type II diabetes mellitus	1
AKT2	Late onset	1
AKT2	Autosomal dominant inheritance	1
ABCC8	Insulin resistance	1
ABCC8	Type II diabetes mellitus	1
ABCC8	Late onset	1
ABCC8	Autosomal dominant inheritance	1
HNF4A	Insulin resistance	1
HNF4A	Type II diabetes mellitus	1
HNF4A	Late onset	1
HNF4A	Autosomal dominant inheritance	1
GCK	Insulin resistance	1
GCK	Type II diabetes mellitus	1
GCK	Late onset	1
GCK	Autosomal dominant inheritance	1
PAX4	Insulin resistance	1
PAX4	Type II diabetes mellitus	1
PAX4	Late onset	1
PAX4	Autosomal dominant inheritance	1
HMGA1	Insulin resistance	1
HMGA1	Type II diabetes mellitus	1
HMGA1	Late onset	1
HMGA1	Autosomal dominant inheritance	1
ADAMTS10	Aplasia/Hypoplasia of the lens	1
ADAMTS10	Myopia	1
ADAMTS10	Ectopia lentis	1
ADAMTS10	Abnormality of the mitral valve	1
ADAMTS10	Short stature	1
ADAMTS10	Glaucoma	1
ADAMTS10	Cognitive impairment	1
ADAMTS10	Short toe	1
ADAMTS10	Abnormality of the aortic valve	1
ADAMTS10	Brachydactyly syndrome	1
ADAMTS10	Limitation of joint mobility	1
ADAMTS10	Visual impairment	1
ADAMTS10	Abnormality of the pulmonary valve	1
ADAMTS10	Cataract	1
ADAMTS10	Ventricular septal defect	1
ADAMTS10	Thickened skin	1
LTBP2	Aplasia/Hypoplasia of the lens	1
LTBP2	Myopia	1
LTBP2	Ectopia lentis	1
LTBP2	Abnormality of the mitral valve	1
LTBP2	Short stature	1
LTBP2	Glaucoma	1
LTBP2	Cognitive impairment	1
LTBP2	Short toe	1
LTBP2	Abnormality of the aortic valve	1
LTBP2	Brachydactyly syndrome	1
LTBP2	Limitation of joint mobility	1
LTBP2	Visual impairment	1
LTBP2	Abnormality of the pulmonary valve	1
LTBP2	Cataract	1
LTBP2	Ventricular septal defect	1
LTBP2	Thickened skin	1
FBN1	Aplasia/Hypoplasia of the lens	1
FBN1	Myopia	1
FBN1	Ectopia lentis	1
FBN1	Abnormality of the mitral valve	1
FBN1	Short stature	1
FBN1	Glaucoma	1
FBN1	Cognitive impairment	1
FBN1	Short toe	1
FBN1	Abnormality of the aortic valve	1
FBN1	Brachydactyly syndrome	1
FBN1	Limitation of joint mobility	1
FBN1	Visual impairment	1
FBN1	Abnormality of the pulmonary valve	1
FBN1	Cataract	1
FBN1	Ventricular septal defect	1
FBN1	Thickened skin	1
FBN1	Limitation of joint mobility	1
FBN1	Disproportionate tall stature	1
FBN1	Flat cornea	1
FBN1	Glaucoma	1
FBN1	Visual impairment	1
FBN1	Aplasia/Hypoplasia of the lens	1
FBN1	Lens coloboma	1
FBN1	Retinal detachment	1
FBN1	Corneal dystrophy	1
FBN1	Abnormality of the pupil	1
FBN1	Ectopia lentis	1
FBN1	Astigmatism	1
FBN1	Hypermetropia	1
ADAMTSL4	Limitation of joint mobility	1
ADAMTSL4	Disproportionate tall stature	1
ADAMTSL4	Flat cornea	1
ADAMTSL4	Glaucoma	1
ADAMTSL4	Visual impairment	1
ADAMTSL4	Aplasia/Hypoplasia of the lens	1
ADAMTSL4	Lens coloboma	1
ADAMTSL4	Retinal detachment	1
ADAMTSL4	Corneal dystrophy	1
ADAMTSL4	Abnormality of the pupil	1
ADAMTSL4	Ectopia lentis	1
ADAMTSL4	Astigmatism	1
ADAMTSL4	Hypermetropia	1
ND6	Sudden loss of visual acuity	1
ND6	Mitochondrial inheritance	1
ND6	Dystonia	1
ND6	Onset	1
ND6	Optic disc pallor	1
ND6	Large central visual field defect	1
ND6	Abnormality of metabolism/homeostasis	1
ND6	Headache	1
ND6	Papilledema	1
ND6	Leber optic atrophy	1
ND6	Bilateral basal ganglia lesions	1
PCLO	Cerebellar atrophy	1
PCLO	Cerebral atrophy	1
PCLO	Seizures	1
PCLO	Macrotia	1
PCLO	Progressive	1
PCLO	Muscular hypotonia of the trunk	1
PCLO	Autosomal recessive inheritance	1
PCLO	Low-set ears	1
PCLO	Neonatal hypotonia	1
PCLO	Congenital onset	1
PCLO	Progressive microcephaly	1
PCLO	Hyperreflexia	1
PCLO	Optic atrophy	1
PCLO	High palate	1
PCLO	Depressed nasal bridge	1
PCLO	Downturned corners of mouth	1
PCLO	Decreased body weight	1
PCLO	Long philtrum	1
PCLO	Hearing impairment	1
PCLO	Short stature	1
PCLO	Brachycephaly	1
PCLO	Full cheeks	1
PCLO	Cerebellar hypoplasia	1
PCLO	Spasticity	1
PCLO	Poor head control	1
PCLO	Proptosis	1
PCLO	Hypoplasia of the pons	1
PCLO	Hypoplasia of the corpus callosum	1
PCLO	Long palpebral fissure	1
PCLO	Global developmental delay	1
PCLO	Hypoplasia of the brainstem	1
NDE1	Global developmental delay	1
NDE1	Congenital onset	1
NDE1	Seizures	1
NDE1	Microcephaly	1
NDE1	Hypertonia	1
NDE1	Intellectual disability, profound	1
NDE1	Lissencephaly	1
NDE1	Cortical gyral simplification	1
NDE1	Short stature	1
NDE1	Autosomal recessive inheritance	1
NDE1	Agenesis of corpus callosum	1
TNNI2	Abnormality of the hip bone	1
TNNI2	Narrow mouth	1
TNNI2	Rocker bottom foot	1
TNNI2	Limitation of joint mobility	1
TNNI2	Camptodactyly of finger	1
TNNI2	Ulnar deviation of finger	1
TNNI2	Adducted thumb	1
TNNI2	Talipes	1
TPM2	Abnormality of the hip bone	1
TPM2	Narrow mouth	1
TPM2	Rocker bottom foot	1
TPM2	Limitation of joint mobility	1
TPM2	Camptodactyly of finger	1
TPM2	Ulnar deviation of finger	1
TPM2	Adducted thumb	1
TPM2	Talipes	1
TNNT3	Abnormality of the hip bone	1
TNNT3	Narrow mouth	1
TNNT3	Rocker bottom foot	1
TNNT3	Limitation of joint mobility	1
TNNT3	Camptodactyly of finger	1
TNNT3	Ulnar deviation of finger	1
TNNT3	Adducted thumb	1
TNNT3	Talipes	1
MYBPC1	Abnormality of the hip bone	1
MYBPC1	Narrow mouth	1
MYBPC1	Rocker bottom foot	1
MYBPC1	Limitation of joint mobility	1
MYBPC1	Camptodactyly of finger	1
MYBPC1	Ulnar deviation of finger	1
MYBPC1	Adducted thumb	1
MYBPC1	Talipes	1
MYH3	Abnormality of the hip bone	1
MYH3	Narrow mouth	1
MYH3	Rocker bottom foot	1
MYH3	Limitation of joint mobility	1
MYH3	Camptodactyly of finger	1
MYH3	Ulnar deviation of finger	1
MYH3	Adducted thumb	1
MYH3	Talipes	1
PIGO	Microcephaly	1
PIGO	Intellectual disability	1
PIGO	Elevated alkaline phosphatase	1
PIGO	Anal stenosis	1
PIGO	Atria septal defect	1
PIGO	Hypertelorism	1
PIGO	Ventriculomegaly	1
PIGO	Broad hallux	1
PIGO	Plagiocephaly	1
PIGO	Growth delay	1
PIGO	Wide nasal bridge	1
PIGO	Seizures	1
PIGO	Long palpebral fissure	1
PIGO	Congenital onset	1
PIGO	Tented upper lip vermilion	1
PIGO	Vesicoureteral reflux	1
PIGO	Autosomal recessive inheritance	1
PIGO	Muscular hypotonia	1
PIGO	Short nose	1
PIGO	Broad nasal tip	1
PIGO	Anal atresia	1
PIGO	Delayed speech and language development	1
RAF1	Short stature	1
RAF1	Abnormality of the sternum	1
RAF1	Global developmental delay	1
RAF1	Autosomal dominant inheritance	1
RAF1	Atria septal defect	1
RAF1	Abnormal facial shape	1
RAF1	Webbed neck	1
RAF1	Hypertrophic cardiomyopathy	1
RAF1	Short neck	1
GHSR	Autosomal recessive inheritance	1
GHSR	Autosomal dominant inheritance	1
GHSR	Postnatal growth retardation	1
GHSR	Delayed skeletal maturation	1
GHSR	Short stature	1
GHSR	Small pituitary gland	1
SCO2	Respiratory difficulties	1
SCO2	Muscular hypotonia	1
SCO2	Lactic acidosis	1
SCO2	Increased CSF lactate	1
SCO2	Basal ganglia gliosis	1
SCO2	Feeding difficulties in infancy	1
SCO2	Limited extraocular movements	1
SCO2	Congenital onset	1
SCO2	Neuronal loss in central nervous system	1
SCO2	Global developmental delay	1
SCO2	Hypertrophic cardiomyopathy	1
SCO2	Autosomal recessive inheritance	1
SCO2	Increased serum lactate	1
SCO2	Death in infancy	1
CD151	Sensorineural hearing impairment	1
CD151	Reduced beta/alpha synthesis ratio	1
CD151	Lacrimal duct stenosis	1
CD151	Nephropathy	1
CD151	Stage 5 chronic kidney disease	1
CD151	Nail dystrophy	1
CD151	Pretibial blistering	1
CD151	Nephritis	1
CD151	Autosomal recessive inheritance	1
WDR73	Pes cavus	1
WDR73	Nephrotic syndrome	1
WDR73	Muscular hypotonia	1
WDR73	Talipes equinovarus	1
WDR73	Global developmental delay	1
WDR73	Micrognathia	1
WDR73	Short stature	1
WDR73	Microphthalmia	1
WDR73	Macrotia	1
WDR73	Cataract	1
WDR73	Premature birth	1
WDR73	Camptodactyly of finger	1
WDR73	Ptosis	1
WDR73	Adducted thumb	1
WDR73	High palate	1
WDR73	Abnormality of the teeth	1
WDR73	Slender finger	1
WDR73	Hypoalbuminemia	1
WDR73	Proteinuria	1
WDR73	Strabismus	1
WDR73	Intellectual disability	1
WDR73	Hiatus hernia	1
WDR73	Dystonia	1
WDR73	Camptodactyly	1
WDR73	Nystagmus	1
WDR73	Hypertelorism	1
WDR73	Cognitive impairment	1
WDR73	Microcephaly	1
WDR73	Small nail	1
WDR73	Hypertonia	1
WDR73	Oligohydramnios	1
WDR73	Pachygyria	1
WDR73	Infantile onset	1
WDR73	Epicanthus	1
WDR73	Focal segmental glomerulosclerosis	1
WDR73	Joint contracture of the hand	1
WDR73	Seizures	1
WDR73	Low-set ears	1
WDR73	Feeding difficulties	1
WDR73	Hemiplegia/hemiparesis	1
WDR73	Optic atrophy	1
WDR73	Hypoplasia of the iris	1
WDR73	EEG abnormality	1
WDR73	Cerebral atrophy	1
WDR73	Hypoplasia of the ear cartilage	1
WDR73	Wide mouth	1
WDR73	Hypopigmentation of the skin	1
WDR73	Dandy-Walker malformation	1
WDR73	Sloping forehead	1
WDR73	Hypoplasia of midface	1
WDR73	Narrow nasal ridge	1
WDR73	Small for gestational age	1
WDR73	Aqueductal stenosis	1
WDR73	Ataxia	1
WDR73	Prominent nose	1
WDR73	Spastic tetraplegia	1
WDR73	Hypoplasia of the brainstem	1
WDR73	Hypoplasia of the corpus callosum	1
WDR73	Flat occiput	1
WDR73	Abnormality of immune system physiology	1
WDR73	Hand clenching	1
WDR73	Cerebellar atrophy	1
WDR73	Hyperreflexia	1
WDR73	Abnormality of neuronal migration	1
WDR73	Diffuse mesangial sclerosis	1
WDR73	Nephropathy	1
WDR73	Intrauterine growth retardation	1
WDR73	Opacification of the corneal stroma	1
WDR73	Abnormality of the intervertebral disk	1
WDR73	Hypotelorism	1
WDR73	Autosomal recessive inheritance	1
DNAJB2	Distal sensory impairment	1
DNAJB2	Steppage gait	1
TNNI3	Autosomal dominant inheritance	1
TNNI3	Ventricular hypertrophy	1
TNNI3	Cardiomyopathy	1
TNNI3	Atrial fibrillation	1
MVK	Delayed skeletal maturation	1
MVK	Normocytic hypoplastic anemia	1
MVK	Large fontanelles	1
MVK	Kyphoscoliosis	1
MVK	Blue sclerae	1
MVK	Downslanted palpebral fissures	1
MVK	Leukocytosis	1
MVK	Triangular face	1
MVK	Cerebral cortical atrophy	1
MVK	Global developmental delay	1
MVK	Thrombocytopenia	1
MVK	Seizures	1
MVK	Muscular hypotonia	1
MVK	Elevated hepatic transaminases	1
MVK	Fluctuating splenomegaly	1
MVK	Microcephaly	1
MVK	Dolichocephaly	1
MVK	Cataract	1
MVK	Edema	1
MVK	Diarrhea	1
MVK	Vomiting	1
MVK	Cognitive impairment	1
MVK	Failure to thrive	1
MVK	Low-set ears	1
MVK	Progressive cerebellar ataxia	1
MVK	Short stature	1
MVK	Morbilliform rash	1
MVK	Nystagmus	1
MVK	Splenomegaly	1
MVK	Skin rash	1
MVK	Cerebellar atrophy	1
MVK	Low-set, posteriorly rotated ears	1
MVK	Fluctuating hepatomegaly	1
MVK	Autosomal recessive inheritance	1
MVK	Lymphadenopathy	1
MVK	Aciduria	1
MVK	Arthralgia	1
MVK	Cerebral atrophy	1
MVK	Agenesis of cerebellar vermis	1
MVK	Incoordination	1
MVK	Elevated serum creatine phosphokinase	1
MVK	Posteriorly rotated ears	1
ITM2B	Nyctalopia	1
ITM2B	Photophobia	1
ITM2B	Retinal dystrophy	1
ITM2B	Optic disc pallor	1
RPGRIP1L	Cleft upper lip	1
RPGRIP1L	Postaxial hand polydactyly	1
RPGRIP1L	Bile duct proliferation	1
RPGRIP1L	Abnormality of the urinary system	1
RPGRIP1L	Anencephaly	1
RPGRIP1L	Postaxial foot polydactyly	1
RPGRIP1L	Heterogeneous	1
RPGRIP1L	Autosomal recessive inheritance	1
RPGRIP1L	Occipital encephalocele	1
RPGRIP1L	Bowing of the long bones	1
RPGRIP1L	Cleft palate	1
RPGRIP1L	Microphthalmia	1
DYRK1A	Deeply set eye	1
DYRK1A	Febrile seizures	1
DYRK1A	Autism	1
DYRK1A	Failure to thrive in infancy	1
DYRK1A	Autosomal dominant inheritance	1
DYRK1A	Microcephaly	1
DYRK1A	Intellectual disability	1
DYRK1A	Severe global developmental delay	1
DYRK1A	Narrow forehead	1
DYRK1A	Hallux valgus	1
DYRK1A	Cerebral cortical atrophy	1
NR2F2	Hypoplastic left heart	1
NR2F2	Coarctation of aorta	1
NR2F2	Tetralogy of Fallot	1
NR2F2	Ventricular septal defect	1
NR2F2	Atrioventricular canal defect	1
NR2F2	Aortic valve stenosis	1
AMH	Cryptorchidism	1
AMH	Abnormality of male internal genitalia	1
AMH	Inguinal hernia	1
AMH	Male infertility	1
AMH	Male pseudohermaphroditism	1
AMH	Hernia of the abdominal wall	1
AMH	Bilateral cryptorchidism	1
AMH	Autosomal recessive inheritance	1
AMH	Abnormality of circulating hormone level	1
AMHR2	Cryptorchidism	1
AMHR2	Abnormality of male internal genitalia	1
AMHR2	Inguinal hernia	1
AMHR2	Male infertility	1
AMHR2	Male pseudohermaphroditism	1
AMHR2	Hernia of the abdominal wall	1
AMHR2	Bilateral cryptorchidism	1
AMHR2	Autosomal recessive inheritance	1
AMHR2	Abnormality of circulating hormone level	1
FGFR3	Melanocytic nevus	1
FGFR3	Numerous nevi	1
FGFR3	Autosomal dominant inheritance	1
PIK3CA	Melanocytic nevus	1
PIK3CA	Numerous nevi	1
PIK3CA	Autosomal dominant inheritance	1
NRAS	Melanocytic nevus	1
NRAS	Numerous nevi	1
NRAS	Autosomal dominant inheritance	1
SOX10	Hypopigmented skin patches	1
SOX10	Aganglionic megacolon	1
SOX10	Heterochromia iridis	1
SOX10	Premature graying of hair	1
SOX10	Abnormality of the pulmonary artery	1
SOX10	Telecanthus	1
SOX10	Sensorineural hearing impairment	1
SOX10	Ptosis	1
SOX10	White forelock	1
SOX10	Abnormality of the kidney	1
MITF	Hypopigmented skin patches	1
MITF	Aganglionic megacolon	1
MITF	Heterochromia iridis	1
MITF	Premature graying of hair	1
MITF	Abnormality of the pulmonary artery	1
MITF	Telecanthus	1
MITF	Sensorineural hearing impairment	1
MITF	Ptosis	1
MITF	White forelock	1
MITF	Abnormality of the kidney	1
SNAI2	Hypopigmented skin patches	1
SNAI2	Aganglionic megacolon	1
SNAI2	Heterochromia iridis	1
SNAI2	Premature graying of hair	1
SNAI2	Abnormality of the pulmonary artery	1
SNAI2	Telecanthus	1
SNAI2	Sensorineural hearing impairment	1
SNAI2	Ptosis	1
SNAI2	White forelock	1
SNAI2	Abnormality of the kidney	1
ACTN4	Proteinuria	1
ACTN4	Hypoalbuminemia	1
ACTN4	Edema	1
ACTN4	Hyperlipidemia	1
ACTN4	Focal segmental glomerulosclerosis	1
ZBTB24	Abnormality of the tongue	1
ZBTB24	Depressed nasal bridge	1
ZBTB24	Macrocephaly	1
ZBTB24	Communicating hydrocephalus	1
ZBTB24	Malabsorption	1
ZBTB24	Lymphopenia	1
ZBTB24	Short stature	1
ZBTB24	Cellular immunodeficiency	1
ZBTB24	Low-set, posteriorly rotated ears	1
ZBTB24	Malar flattening	1
ZBTB24	Hypertelorism	1
ZBTB24	Abnormality of neutrophils	1
ZBTB24	Cognitive impairment	1
ZBTB24	Epicanthus	1
ZBTB24	Anemia	1
ZBTB24	Micrognathia	1
ZBTB24	Umbilical hernia	1
ZBTB24	Recurrent respiratory infections	1
ZBTB24	Decreased antibody level in blood	1
CDCA7	Abnormality of the tongue	1
CDCA7	Depressed nasal bridge	1
CDCA7	Macrocephaly	1
CDCA7	Communicating hydrocephalus	1
CDCA7	Malabsorption	1
CDCA7	Lymphopenia	1
CDCA7	Short stature	1
CDCA7	Cellular immunodeficiency	1
CDCA7	Low-set, posteriorly rotated ears	1
CDCA7	Malar flattening	1
CDCA7	Hypertelorism	1
CDCA7	Abnormality of neutrophils	1
CDCA7	Cognitive impairment	1
CDCA7	Epicanthus	1
CDCA7	Anemia	1
CDCA7	Micrognathia	1
CDCA7	Umbilical hernia	1
CDCA7	Recurrent respiratory infections	1
CDCA7	Decreased antibody level in blood	1
DNMT3B	Abnormality of the tongue	1
DNMT3B	Depressed nasal bridge	1
DNMT3B	Macrocephaly	1
DNMT3B	Communicating hydrocephalus	1
DNMT3B	Malabsorption	1
DNMT3B	Lymphopenia	1
DNMT3B	Short stature	1
DNMT3B	Cellular immunodeficiency	1
DNMT3B	Low-set, posteriorly rotated ears	1
DNMT3B	Malar flattening	1
DNMT3B	Hypertelorism	1
DNMT3B	Abnormality of neutrophils	1
DNMT3B	Cognitive impairment	1
DNMT3B	Epicanthus	1
DNMT3B	Anemia	1
DNMT3B	Micrognathia	1
DNMT3B	Umbilical hernia	1
DNMT3B	Recurrent respiratory infections	1
DNMT3B	Decreased antibody level in blood	1
HELLS	Abnormality of the tongue	1
HELLS	Depressed nasal bridge	1
HELLS	Macrocephaly	1
HELLS	Communicating hydrocephalus	1
HELLS	Malabsorption	1
HELLS	Lymphopenia	1
HELLS	Short stature	1
HELLS	Cellular immunodeficiency	1
HELLS	Low-set, posteriorly rotated ears	1
HELLS	Malar flattening	1
HELLS	Hypertelorism	1
HELLS	Abnormality of neutrophils	1
HELLS	Cognitive impairment	1
HELLS	Epicanthus	1
HELLS	Anemia	1
HELLS	Micrognathia	1
HELLS	Umbilical hernia	1
HELLS	Recurrent respiratory infections	1
HELLS	Decreased antibody level in blood	1
KIF7	Micrognathia	1
KIF7	Autosomal recessive inheritance	1
KIF7	Anencephaly	1
KIF7	Hydrocephalus	1
KIF7	Cleft palate	1
KIF7	Ventriculomegaly	1
KIF7	Molar tooth sign on MRI	1
KIF7	Agenesis of corpus callosum	1
KIF7	Preaxial polydactyly	1
KIF7	Postaxial polydactyly	1
GRHL3	Cleft palate	1
GRHL3	Autosomal dominant inheritance	1
GRHL3	Cleft upper lip	1
GRHL3	Anodontia	1
GNAL	Laryngeal dystonia	1
GNAL	Torticollis	1
GNAL	Autosomal dominant inheritance	1
GNAL	Limb dystonia	1
PHOX2B	Autosomal dominant inheritance	1
PHOX2B	Ganglioneuroma	1
PHOX2B	Aganglionic megacolon	1
PHOX2B	Ganglioneuroblastoma	1
SRCAP	Umbilical hernia	1
SRCAP	Recurrent otitis media	1
SRCAP	Short neck	1
SRCAP	Smooth philtrum	1
SRCAP	Neurological speech impairment	1
SRCAP	Hypoplasia of penis	1
SRCAP	Attention deficit hyperactivity disorder	1
SRCAP	Hypospadias	1
SRCAP	Short stature	1
SRCAP	Varicocele	1
SRCAP	Joint hypermobility	1
SRCAP	Atria septal defect	1
SRCAP	Wide mouth	1
SRCAP	Cone-shaped epiphyses of the phalanges of the hand	1
SRCAP	Wide nasal bridge	1
SRCAP	Thin vermilion border	1
SRCAP	Constipation	1
SRCAP	Nephrocalcinosis	1
SRCAP	Triangular face	1
SRCAP	Mesocardia	1
SRCAP	Low posterior hairline	1
SRCAP	Clinodactyly of the 5th finger	1
SRCAP	Delayed skeletal maturation	1
SRCAP	Prominent nose	1
SRCAP	Hypertrichosis	1
SRCAP	Joint laxity	1
SRCAP	Intrauterine growth retardation	1
SRCAP	Abnormality of immune system physiology	1
SRCAP	Persistent left superior vena cava	1
SRCAP	Strabismus	1
SRCAP	Abnormality of the fingernails	1
SRCAP	Inguinal hernia	1
SRCAP	Expressive language delay	1
SRCAP	Autosomal dominant inheritance	1
SRCAP	Abnormality of the eyelashes	1
SRCAP	Long eyelashes	1
SRCAP	Short philtrum	1
SRCAP	Celiac disease	1
SRCAP	Hirsutism	1
SRCAP	Cryptorchidism	1
SRCAP	Abnormality of thumb phalanx	1
SRCAP	Hydronephrosis	1
SRCAP	Limitation of joint mobility	1
SRCAP	Posteriorly rotated ears	1
SRCAP	Telecanthus	1
SRCAP	Deeply set eye	1
SRCAP	Low-set, posteriorly rotated ears	1
