Category,Condition,Alias,Relative Link,OtherAliases
Blood/lymphatic system,acute myelogenous leukemia with normal karyotype,cytogenetically normal acute myeloid leukemia,/condition/cytogenetically-normal-acute-myeloid-leukemia,"['acute myelogenous leukemia with normal karyotype', 'CN-AML', 'NK-AML', 'normal karyotype acute myeloid leukemia']"
Blood/lymphatic system,acute promyelocytic leukemia,,/condition/acute-promyelocytic-leukemia,"['AML M3', 'APL', 'leukemia, acute promyelocytic', 'M3 ANLL', 'myeloid leukemia, acute, M3']"
Blood/lymphatic system,ada2 deficiency,adenosine deaminase 2 deficiency,/condition/adenosine-deaminase-2-deficiency,"['ADA2 deficiency', 'childhood-onset polyarteritis nodosa', 'DADA2', 'deficiency of ADA2', 'Sneddon syndrome']"
Blood/lymphatic system,adenosine deaminase 2 deficiency,,/condition/adenosine-deaminase-2-deficiency,"['ADA2 deficiency', 'childhood-onset polyarteritis nodosa', 'DADA2', 'deficiency of ADA2', 'Sneddon syndrome']"
Blood/lymphatic system,afibrinogenemia,congenital afibrinogenemia,/condition/congenital-afibrinogenemia,"['afibrinogenemia', 'familial afibrinogenemia']"
Blood/lymphatic system,agnogenic myeloid metaplasia,primary myelofibrosis,/condition/primary-myelofibrosis,"['agnogenic myeloid metaplasia', 'chronic idiopathic myelofibrosis', 'idiopathic myelofibrosis', 'myelofibrosis with myeloid metaplasia', 'myeloid metaplasia']"
Blood/lymphatic system,ahus,atypical hemolytic-uremic syndrome,/condition/atypical-hemolytic-uremic-syndrome,"['aHUS', 'nonenteropathic HUS', 'non-Shiga-like toxin-associated HUS', 'non-Stx-HUS']"
Blood/lymphatic system,alpha high density lipoprotein deficiency disease,tangier disease,/condition/tangier-disease,"['A-alphalipoprotein Neuropathy', 'alpha High Density Lipoprotein Deficiency Disease', 'Analphalipoproteinemia', 'Cholesterol thesaurismosis', 'Familial High Density Lipoprotein Deficiency Disease', 'Familial Hypoalphalipoproteinemia', 'HDL Lipoprotein Deficiency Disease', 'Lipoprotein Deficiency Disease, HDL, Familial', 'Tangier Disease Neuropathy', 'Tangier Hereditary Neuropathy']"
Blood/lymphatic system,alpha thalassemia,,/condition/alpha-thalassemia,"['alpha-thalassemia', 'α-thalassemia']"
Blood/lymphatic system,alpha thalassemia x-linked intellectual disability syndrome,,/condition/alpha-thalassemia-x-linked-intellectual-disability-syndrome,"['alpha-thalassemia/mental retardation syndrome, nondeletion type', 'alpha thalassemia/mental retardation, X-linked', 'alpha thalassemia X-linked mental retardation syndrome', 'alpha-thalassemia X-linked mental retardation syndrome', 'ATRX syndrome', 'ATR-X syndrome', 'X-linked alpha-thalassemia/mental retardation syndrome', 'XLMR-hypotonic face syndrome']"
Blood/lymphatic system,aml m3,acute promyelocytic leukemia,/condition/acute-promyelocytic-leukemia,"['AML M3', 'APL', 'leukemia, acute promyelocytic', 'M3 ANLL', 'myeloid leukemia, acute, M3']"
Blood/lymphatic system,analphalipoproteinemia,tangier disease,/condition/tangier-disease,"['A-alphalipoprotein Neuropathy', 'alpha High Density Lipoprotein Deficiency Disease', 'Analphalipoproteinemia', 'Cholesterol thesaurismosis', 'Familial High Density Lipoprotein Deficiency Disease', 'Familial Hypoalphalipoproteinemia', 'HDL Lipoprotein Deficiency Disease', 'Lipoprotein Deficiency Disease, HDL, Familial', 'Tangier Disease Neuropathy', 'Tangier Hereditary Neuropathy']"
Blood/lymphatic system,"anemia, dyserythropoietic, congenital",congenital dyserythropoietic anemia,/condition/congenital-dyserythropoietic-anemia,"['Anemia, Dyserythropoietic, Congenital']"
Blood/lymphatic system,"anemia, hereditary sideroblastic",x-linked sideroblastic anemia,/condition/x-linked-sideroblastic-anemia,"['Anemia, hereditary sideroblastic', 'Anemia, sex-linked hypochromic sideroblastic', 'ANH1', 'Congenital sideroblastic anaemia', 'Erythroid 5-aminolevulinate synthase deficiency', 'Hereditary iron-loading anemia', 'X chromosome-linked sideroblastic anemia', 'X-linked pyridoxine-responsive sideroblastic anemia', 'XLSA']"
Blood/lymphatic system,"anemia, hypochromic microcytic, with defect in iron metabolism",iron-refractory iron deficiency anemia,/condition/iron-refractory-iron-deficiency-anemia,"['anemia, hypochromic microcytic, with defect in iron metabolism', 'IRIDA', 'IRIDA syndrome', 'iron-handling disorder, hereditary']"
Blood/lymphatic system,"anemia, sex-linked hypochromic sideroblastic",x-linked sideroblastic anemia,/condition/x-linked-sideroblastic-anemia,"['Anemia, hereditary sideroblastic', 'Anemia, sex-linked hypochromic sideroblastic', 'ANH1', 'Congenital sideroblastic anaemia', 'Erythroid 5-aminolevulinate synthase deficiency', 'Hereditary iron-loading anemia', 'X chromosome-linked sideroblastic anemia', 'X-linked pyridoxine-responsive sideroblastic anemia', 'XLSA']"
Blood/lymphatic system,angiohemophilia,von willebrand disease,/condition/von-willebrand-disease,"['angiohemophilia', 'vascular pseudohemophilia', 'von Willebrand disorder', ""von Willebrand's factor deficiency""]"
Blood/lymphatic system,anh1,x-linked sideroblastic anemia,/condition/x-linked-sideroblastic-anemia,"['Anemia, hereditary sideroblastic', 'Anemia, sex-linked hypochromic sideroblastic', 'ANH1', 'Congenital sideroblastic anaemia', 'Erythroid 5-aminolevulinate synthase deficiency', 'Hereditary iron-loading anemia', 'X chromosome-linked sideroblastic anemia', 'X-linked pyridoxine-responsive sideroblastic anemia', 'XLSA']"
Blood/lymphatic system,anti-phospholipid syndrome,antiphospholipid syndrome,/condition/antiphospholipid-syndrome,"['antiphospholipid antibody syndrome', 'anti-phospholipid syndrome', 'Hughes syndrome']"
Blood/lymphatic system,antiphospholipid syndrome,,/condition/antiphospholipid-syndrome,"['antiphospholipid antibody syndrome', 'anti-phospholipid syndrome', 'Hughes syndrome']"
Blood/lymphatic system,antithrombin iii deficiency,hereditary antithrombin deficiency,/condition/hereditary-antithrombin-deficiency,"['Antithrombin III Deficiency', 'Congenital Antithrombin III Deficiency']"
Blood/lymphatic system,"apc resistance, leiden type",factor v leiden thrombophilia,/condition/factor-v-leiden-thrombophilia,"['APC resistance, Leiden type', 'Hereditary resistance to activated protein C']"
Blood/lymphatic system,apl,acute promyelocytic leukemia,/condition/acute-promyelocytic-leukemia,"['AML M3', 'APL', 'leukemia, acute promyelocytic', 'M3 ANLL', 'myeloid leukemia, acute, M3']"
Blood/lymphatic system,apolipoprotein b deficiency,abetalipoproteinemia,/condition/abetalipoproteinemia,"['Abetalipoproteinemia neuropathy', 'acanthocytosis', 'Apolipoprotein B deficiency', 'Bassen-Kornzweig Syndrome', 'Betalipoprotein Deficiency Disease', 'Congenital betalipoprotein deficiency syndrome', 'Microsomal Triglyceride Transfer Protein Deficiency Disease']"
Blood/lymphatic system,arakawa syndrome 1,glutamate formiminotransferase deficiency,/condition/glutamate-formiminotransferase-deficiency,"['Arakawa syndrome 1', 'FIGLU-uria', 'formiminoglutamic aciduria', 'formiminotransferase deficiency']"
Blood/lymphatic system,ataxia-telangiectasia,,/condition/ataxia-telangiectasia,"['A-T', 'ataxia telangiectasia syndrome', 'ATM', 'Louis-Bar syndrome', 'telangiectasia, cerebello-oculocutaneous']"
Blood/lymphatic system,atm,ataxia-telangiectasia,/condition/ataxia-telangiectasia,"['A-T', 'ataxia telangiectasia syndrome', 'ATM', 'Louis-Bar syndrome', 'telangiectasia, cerebello-oculocutaneous']"
Blood/lymphatic system,atr-x syndrome,alpha thalassemia x-linked intellectual disability syndrome,/condition/alpha-thalassemia-x-linked-intellectual-disability-syndrome,"['alpha-thalassemia/mental retardation syndrome, nondeletion type', 'alpha thalassemia/mental retardation, X-linked', 'alpha thalassemia X-linked mental retardation syndrome', 'alpha-thalassemia X-linked mental retardation syndrome', 'ATRX syndrome', 'ATR-X syndrome', 'X-linked alpha-thalassemia/mental retardation syndrome', 'XLMR-hypotonic face syndrome']"
Blood/lymphatic system,atrx syndrome,alpha thalassemia x-linked intellectual disability syndrome,/condition/alpha-thalassemia-x-linked-intellectual-disability-syndrome,"['alpha-thalassemia/mental retardation syndrome, nondeletion type', 'alpha thalassemia/mental retardation, X-linked', 'alpha thalassemia X-linked mental retardation syndrome', 'alpha-thalassemia X-linked mental retardation syndrome', 'ATRX syndrome', 'ATR-X syndrome', 'X-linked alpha-thalassemia/mental retardation syndrome', 'XLMR-hypotonic face syndrome']"
Blood/lymphatic system,atypical hemolytic-uremic syndrome,,/condition/atypical-hemolytic-uremic-syndrome,"['aHUS', 'nonenteropathic HUS', 'non-Shiga-like toxin-associated HUS', 'non-Stx-HUS']"
Blood/lymphatic system,atypical philadelphia-negative chronic myeloid leukemia,pdgfrb-associated chronic eosinophilic leukemia,/condition/pdgfrb-associated-chronic-eosinophilic-leukemia,"['atypical Philadelphia-negative chronic myeloid leukemia', 'chronic myelomonocytic leukemia', 'chronic myeloproliferative disorder with eosinophilia', 'clonal eosinophilia with chronic myeloproliferative disorder', 'primary eosinophilia with chronic myeloproliferative disorder']"
Blood/lymphatic system,"autosomal dominant familial hematuria, retinal arteriolar tortuosity, contractures","hereditary angiopathy with nephropathy, aneurysms, and muscle cramps syndrome",/condition/hereditary-angiopathy-with-nephropathy-aneurysms-and-muscle-cramps-syndrome,"['autosomal dominant familial hematuria, retinal arteriolar tortuosity, contractures', 'HANAC', 'hereditary angiopathy with nephropathy, aneurysm, and muscle cramps syndrome']"
Blood/lymphatic system,autosomal dominant myh9 spectrum disorders,myh9-related disorder,/condition/myh9-related-disorder,"['autosomal dominant MYH9 spectrum disorders', 'MYH9RD', 'MYH9-related macrothrombocytopenias']"
Blood/lymphatic system,autosomal recessive congenital methemoglobinemia,,/condition/autosomal-recessive-congenital-methemoglobinemia,"['chronic familial methemoglobin reductase deficiency', 'congenital methemoglobinemia due to NADH-cytochrome b5 reductase 3 deficiency', 'congenital NADH-methemoglobin reductase deficiency', 'cytochrome b5 reductase deficiency', 'deficiency of cytochrome-b5 reductase', 'diaphorase deficiency', 'NADH-CYB5R deficiency', 'NADH-cytochrome b5 reductase deficiency']"
Blood/lymphatic system,"basal ganglia disease, adult-onset",neuroferritinopathy,/condition/neuroferritinopathy,"['basal ganglia disease, adult-onset', 'ferritin-related neurodegeneration', 'hereditary ferritinopathy', 'NBIA3', 'neurodegeneration with brain iron accumulation 3']"
Blood/lymphatic system,bassen-kornzweig syndrome,abetalipoproteinemia,/condition/abetalipoproteinemia,"['Abetalipoproteinemia neuropathy', 'acanthocytosis', 'Apolipoprotein B deficiency', 'Bassen-Kornzweig Syndrome', 'Betalipoprotein Deficiency Disease', 'Congenital betalipoprotein deficiency syndrome', 'Microsomal Triglyceride Transfer Protein Deficiency Disease']"
Blood/lymphatic system,bda,diamond-blackfan anemia,/condition/diamond-blackfan-anemia,"['Aase-Smith syndrome II', 'Aase syndrome', 'BDA', 'BDS', 'Blackfan Diamond anemia', 'Blackfan-Diamond disease', 'Blackfan-Diamond syndrome', 'chronic congenital agenerative anemia', 'congenital erythroid hypoplastic anemia', 'congenital hypoplastic anemia of Blackfan and Diamond', 'congenital pure red cell anemia', 'congenital pure red cell aplasia', 'DBA', 'erythrogenesis imperfecta', 'hypoplastic congenital anemia', 'inherited erythroblastopenia', 'pure hereditary red cell aplasia']"
Blood/lymphatic system,bdplt4,gray platelet syndrome,/condition/gray-platelet-syndrome,"['BDPLT4', 'bleeding disorder, platelet-type, 4', 'deficient alpha granule syndrome', 'GPS', 'grey platelet syndrome', 'platelet alpha granule deficiency', 'platelet alpha-granule deficiency', 'platelet granule defect']"
Blood/lymphatic system,bds,diamond-blackfan anemia,/condition/diamond-blackfan-anemia,"['Aase-Smith syndrome II', 'Aase syndrome', 'BDA', 'BDS', 'Blackfan Diamond anemia', 'Blackfan-Diamond disease', 'Blackfan-Diamond syndrome', 'chronic congenital agenerative anemia', 'congenital erythroid hypoplastic anemia', 'congenital hypoplastic anemia of Blackfan and Diamond', 'congenital pure red cell anemia', 'congenital pure red cell aplasia', 'DBA', 'erythrogenesis imperfecta', 'hypoplastic congenital anemia', 'inherited erythroblastopenia', 'pure hereditary red cell aplasia']"
Blood/lymphatic system,benign familial polycythemia,familial erythrocytosis,/condition/familial-erythrocytosis,"['benign familial polycythemia', 'congenital erythrocytosis', 'familial polycythemia', 'hereditary erythrocytosis', 'primary familial polycythemia']"
Blood/lymphatic system,benign paroxysmal peritonitis,familial mediterranean fever,/condition/familial-mediterranean-fever,"['benign paroxysmal peritonitis', 'familial paroxysmal polyserositis', 'FMF', 'MEF', 'recurrent polyserositis', 'Reimann periodic disease', 'Siegal-Cattan-Mamou disease', 'Wolff periodic disease']"
Blood/lymphatic system,beta-sitosterolemia,sitosterolemia,/condition/sitosterolemia,"['beta-sitosterolemia', 'phytosterolaemia', 'phytosterolemia', 'plant sterol storage disease', 'sitosterolaemia']"
Blood/lymphatic system,beta thalassemia,,/condition/beta-thalassemia,"['erythroblastic anemia', 'Mediterranean anemia', 'microcytemia, beta type', 'thalassemia, beta type']"
Blood/lymphatic system,betalipoprotein deficiency disease,abetalipoproteinemia,/condition/abetalipoproteinemia,"['Abetalipoproteinemia neuropathy', 'acanthocytosis', 'Apolipoprotein B deficiency', 'Bassen-Kornzweig Syndrome', 'Betalipoprotein Deficiency Disease', 'Congenital betalipoprotein deficiency syndrome', 'Microsomal Triglyceride Transfer Protein Deficiency Disease']"
Blood/lymphatic system,blackfan diamond anemia,diamond-blackfan anemia,/condition/diamond-blackfan-anemia,"['Aase-Smith syndrome II', 'Aase syndrome', 'BDA', 'BDS', 'Blackfan Diamond anemia', 'Blackfan-Diamond disease', 'Blackfan-Diamond syndrome', 'chronic congenital agenerative anemia', 'congenital erythroid hypoplastic anemia', 'congenital hypoplastic anemia of Blackfan and Diamond', 'congenital pure red cell anemia', 'congenital pure red cell aplasia', 'DBA', 'erythrogenesis imperfecta', 'hypoplastic congenital anemia', 'inherited erythroblastopenia', 'pure hereditary red cell aplasia']"
Blood/lymphatic system,blackfan-diamond disease,diamond-blackfan anemia,/condition/diamond-blackfan-anemia,"['Aase-Smith syndrome II', 'Aase syndrome', 'BDA', 'BDS', 'Blackfan Diamond anemia', 'Blackfan-Diamond disease', 'Blackfan-Diamond syndrome', 'chronic congenital agenerative anemia', 'congenital erythroid hypoplastic anemia', 'congenital hypoplastic anemia of Blackfan and Diamond', 'congenital pure red cell anemia', 'congenital pure red cell aplasia', 'DBA', 'erythrogenesis imperfecta', 'hypoplastic congenital anemia', 'inherited erythroblastopenia', 'pure hereditary red cell aplasia']"
Blood/lymphatic system,blackfan-diamond syndrome,diamond-blackfan anemia,/condition/diamond-blackfan-anemia,"['Aase-Smith syndrome II', 'Aase syndrome', 'BDA', 'BDS', 'Blackfan Diamond anemia', 'Blackfan-Diamond disease', 'Blackfan-Diamond syndrome', 'chronic congenital agenerative anemia', 'congenital erythroid hypoplastic anemia', 'congenital hypoplastic anemia of Blackfan and Diamond', 'congenital pure red cell anemia', 'congenital pure red cell aplasia', 'DBA', 'erythrogenesis imperfecta', 'hypoplastic congenital anemia', 'inherited erythroblastopenia', 'pure hereditary red cell aplasia']"
Blood/lymphatic system,"bleeding disorder, platelet-type, 4",gray platelet syndrome,/condition/gray-platelet-syndrome,"['BDPLT4', 'bleeding disorder, platelet-type, 4', 'deficient alpha granule syndrome', 'GPS', 'grey platelet syndrome', 'platelet alpha granule deficiency', 'platelet alpha-granule deficiency', 'platelet granule defect']"
Blood/lymphatic system,blue baby syndrome,"methemoglobinemia, beta-globin type",/condition/methemoglobinemia-beta-globin-type,"['blue baby syndrome', 'congenital methemoglobinemia', 'hemoglobin M disease']"
Blood/lymphatic system,c1 esterase inhibitor deficiency,hereditary angioedema,/condition/hereditary-angioedema,"['C1 esterase inhibitor deficiency', 'C1 inhibitor deficiency', 'HAE', 'HANE', 'hereditary angioneurotic edema']"
Blood/lymphatic system,c1 inhibitor deficiency,hereditary angioedema,/condition/hereditary-angioedema,"['C1 esterase inhibitor deficiency', 'C1 inhibitor deficiency', 'HAE', 'HANE', 'hereditary angioneurotic edema']"
Blood/lymphatic system,cbf acute myeloid leukemia,core binding factor acute myeloid leukemia,/condition/core-binding-factor-acute-myeloid-leukemia,"['CBF acute myeloid leukemia', 'CBF-AML', 'core-binding factor AML']"
Blood/lymphatic system,cbf-aml,core binding factor acute myeloid leukemia,/condition/core-binding-factor-acute-myeloid-leukemia,"['CBF acute myeloid leukemia', 'CBF-AML', 'core-binding factor AML']"
Blood/lymphatic system,ccm,cerebral cavernous malformation,/condition/cerebral-cavernous-malformation,"['CCM', 'central nervous system cavernous hemangioma', 'cerebral cavernous hemangioma', 'familial cavernous hemangioma', 'familial cavernous malformation', 'familial cerebral cavernous angioma', 'familial cerebral cavernous malformation', 'intracerebral cavernous hemangioma']"
Blood/lymphatic system,cda,congenital dyserythropoietic anemia,/condition/congenital-dyserythropoietic-anemia,"['Anemia, Dyserythropoietic, Congenital']"
Blood/lymphatic system,cebpa-dependent familial acute myeloid leukemia,familial acute myeloid leukemia with mutated cebpa,/condition/familial-acute-myeloid-leukemia-with-mutated-cebpa,"['CEBPA-dependent familial acute myeloid leukemia', 'familial acute myeloid leukaemia']"
Blood/lymphatic system,central nervous system cavernous hemangioma,cerebral cavernous malformation,/condition/cerebral-cavernous-malformation,"['CCM', 'central nervous system cavernous hemangioma', 'cerebral cavernous hemangioma', 'familial cavernous hemangioma', 'familial cavernous malformation', 'familial cerebral cavernous angioma', 'familial cerebral cavernous malformation', 'intracerebral cavernous hemangioma']"
Blood/lymphatic system,cerebral cavernous malformation,,/condition/cerebral-cavernous-malformation,"['CCM', 'central nervous system cavernous hemangioma', 'cerebral cavernous hemangioma', 'familial cavernous hemangioma', 'familial cavernous malformation', 'familial cerebral cavernous angioma', 'familial cerebral cavernous malformation', 'intracerebral cavernous hemangioma']"
Blood/lymphatic system,cerebroside lipidosis syndrome,gaucher disease,/condition/gaucher-disease,"['cerebroside lipidosis syndrome', ""Gaucher's disease"", 'Gauchers disease', 'Gaucher splenomegaly', 'Gaucher syndrome', 'GD', 'glucocerebrosidase deficiency', 'glucocerebrosidosis', 'glucosylceramidase deficiency', 'glucosylceramide beta-glucosidase deficiency', 'glucosylceramide lipidosis', 'glucosyl cerebroside lipidosis', 'kerasin histiocytosis', 'kerasin lipoidosis', 'kerasin thesaurismosis', 'lipoid histiocytosis (kerasin type)']"
Blood/lymphatic system,chac,chorea-acanthocytosis,/condition/chorea-acanthocytosis,"['acanthocytosis with neurologic disorder', 'CHAC', 'choreoacanthocytosis']"
Blood/lymphatic system,childhood-onset polyarteritis nodosa,adenosine deaminase 2 deficiency,/condition/adenosine-deaminase-2-deficiency,"['ADA2 deficiency', 'childhood-onset polyarteritis nodosa', 'DADA2', 'deficiency of ADA2', 'Sneddon syndrome']"
Blood/lymphatic system,cholesterol thesaurismosis,tangier disease,/condition/tangier-disease,"['A-alphalipoprotein Neuropathy', 'alpha High Density Lipoprotein Deficiency Disease', 'Analphalipoproteinemia', 'Cholesterol thesaurismosis', 'Familial High Density Lipoprotein Deficiency Disease', 'Familial Hypoalphalipoproteinemia', 'HDL Lipoprotein Deficiency Disease', 'Lipoprotein Deficiency Disease, HDL, Familial', 'Tangier Disease Neuropathy', 'Tangier Hereditary Neuropathy']"
Blood/lymphatic system,chorea-acanthocytosis,,/condition/chorea-acanthocytosis,"['acanthocytosis with neurologic disorder', 'CHAC', 'choreoacanthocytosis']"
Blood/lymphatic system,choreoacanthocytosis,chorea-acanthocytosis,/condition/chorea-acanthocytosis,"['acanthocytosis with neurologic disorder', 'CHAC', 'choreoacanthocytosis']"
Blood/lymphatic system,"chromosome 1q21.1 deletion syndrome, 200-kb",thrombocytopenia-absent radius syndrome,/condition/thrombocytopenia-absent-radius-syndrome,"['chromosome 1q21.1 deletion syndrome, 200-KB', 'radial aplasia-amegakaryocytic thrombocytopenia', 'radial aplasia-thrombocytopenia syndrome', 'thrombocytopenia absent radii']"
Blood/lymphatic system,chromosome 5q deletion syndrome,5q minus syndrome,/condition/5q-minus-syndrome,"['5q- syndrome', 'chromosome 5q deletion syndrome', 'myelodysplastic syndrome associated with isolated del(5q) chromosome abnormality', 'myelodysplastic syndrome with 5q deletion', 'myelodysplastic syndrome with 5q deletion syndrome', 'refractory macrocytic anemia due to 5q deletion']"
Blood/lymphatic system,chronic congenital agenerative anemia,diamond-blackfan anemia,/condition/diamond-blackfan-anemia,"['Aase-Smith syndrome II', 'Aase syndrome', 'BDA', 'BDS', 'Blackfan Diamond anemia', 'Blackfan-Diamond disease', 'Blackfan-Diamond syndrome', 'chronic congenital agenerative anemia', 'congenital erythroid hypoplastic anemia', 'congenital hypoplastic anemia of Blackfan and Diamond', 'congenital pure red cell anemia', 'congenital pure red cell aplasia', 'DBA', 'erythrogenesis imperfecta', 'hypoplastic congenital anemia', 'inherited erythroblastopenia', 'pure hereditary red cell aplasia']"
Blood/lymphatic system,chronic familial methemoglobin reductase deficiency,autosomal recessive congenital methemoglobinemia,/condition/autosomal-recessive-congenital-methemoglobinemia,"['chronic familial methemoglobin reductase deficiency', 'congenital methemoglobinemia due to NADH-cytochrome b5 reductase 3 deficiency', 'congenital NADH-methemoglobin reductase deficiency', 'cytochrome b5 reductase deficiency', 'deficiency of cytochrome-b5 reductase', 'diaphorase deficiency', 'NADH-CYB5R deficiency', 'NADH-cytochrome b5 reductase deficiency']"
Blood/lymphatic system,chronic idiopathic myelofibrosis,primary myelofibrosis,/condition/primary-myelofibrosis,"['agnogenic myeloid metaplasia', 'chronic idiopathic myelofibrosis', 'idiopathic myelofibrosis', 'myelofibrosis with myeloid metaplasia', 'myeloid metaplasia']"
Blood/lymphatic system,chronic myelomonocytic leukemia,pdgfrb-associated chronic eosinophilic leukemia,/condition/pdgfrb-associated-chronic-eosinophilic-leukemia,"['atypical Philadelphia-negative chronic myeloid leukemia', 'chronic myelomonocytic leukemia', 'chronic myeloproliferative disorder with eosinophilia', 'clonal eosinophilia with chronic myeloproliferative disorder', 'primary eosinophilia with chronic myeloproliferative disorder']"
Blood/lymphatic system,chronic myeloproliferative disorder with eosinophilia,pdgfrb-associated chronic eosinophilic leukemia,/condition/pdgfrb-associated-chronic-eosinophilic-leukemia,"['atypical Philadelphia-negative chronic myeloid leukemia', 'chronic myelomonocytic leukemia', 'chronic myeloproliferative disorder with eosinophilia', 'clonal eosinophilia with chronic myeloproliferative disorder', 'primary eosinophilia with chronic myeloproliferative disorder']"
